text,true_label,predicted_label
officialinld jaat bolne ke dhang yeh kyu bata rahe ho ki haar gaye arey bahut tarkeeke hai aur bhi kati pal t co tlnqkqlxwa,Neutral,Negative
rohitku99694321 bbtheorist desimojito nahi yeh upbringing pe bhi depend karta hai kyu parents apne badhte baccho t co qpykgfs5zp,Positive,Neutral
atulsingh asan arey modi govt me minister koi bi ho result to modiji ne jo socha hai wohi hota hai kyu itna pareshaan he,Positive,Neutral
kamaalrkhan if i am not wrong you loved soty 2 naa,Positive,Neutral
rt kimhanbintrash i don t care about shit on loop bc she t co 2asryrrnl8,Negative,Neutral
chaurasiya ajay rssurjewala bjp aur modi ko desh chalana nai aata uska kya ek anpadh vyakti se kya apeksha ki ja t co htmvqojm0c,Negative,Neutral
oneharyanaoffcl socha hi nahi tha aisa bhi hoga sirf rona aur kosna hi h ab tere nasib main everyone know who is janwar,Negative,Neutral
gabbbarsingh bakchodi world cup hai condition favouring heavly bowling first side,Negative,Neutral
smritiirani manakgupta congratulations mam aapki jeet ne 5 salon me jitna apko r modi ji ko kosha gya hai uska da t co zucy1dzicx,Neutral,Positive
rt princesofbusan i love you so much jeon jungkook you are amazing t co owyibydt3s,Neutral,Positive
sardanarohit bahut jabardst rohit sir wse ashutosh ji ko congress ka spokesperson bna dena chaiye bahut dukhi hai bechare,Neutral,Negative
ye kya pehni ho kangna ranaut kisi ka churayi to nahi t co bbc54x3w09,Negative,Neutral
nidhi in jaise bewakoofi bhare patrakaron ki wajah se hi hate increase ho rhikhud apne newsroom me us ldke ko bit t co dvobvz5mpz,Negative,Neutral
i will love you better now sabi nung kanta sa playlist ng kapatid ko hmm,Neutral,Positive
perilouspooja sidha bachha sidha bachha happy birthday to you ashish may god bless you and give you a hot and t co gi3gdfncez,Neutral,Positive
wah wah atif atifthepoet zanjeer salaamat hay jhankaar salaamat hay thank you salmanhydr awgoraya for your t co tdg8f3onjt,Neutral,Positive
rt itsalia x i first saw her as kumud in saraswatichandra i liked her that time also but bepannaah made me fall in love with her jen,Positive,Neutral
allah is mubarak maheenay ke sadqay pakistan ko is wc me kamyabi ata kr or is saal ka wc pakistan ki jholi me daal t co m4rxgikhdx,Positive,Negative
shehzad ind smritiirani rahulgandhi ye insaan smriti ji aur modi ji ke pichhe hath dhokar padd gaya hai har t t co mucaajjd87,Neutral,Negative
vegerotjsp rajesh rajee im arani bezawadodni2 lavangam35mm varna hilane ke layak bhi nahi rehga,Negative,Neutral
on repeat chl rha hai song sir gbu waiting for movie waheguru ji kare super duper jave aa movie diljitdosanjh t co plzkg2h3iz,Neutral,Positive
tariqrana g 55 goldenfish0o hindustan mein hindu muslim ek dusre ke dushman kabhi nahi the ye to kuch political p t co vftb7wcwne,Positive,Neutral
bilkul g ye ghatiya log abhi enko badalna hi hoga jo greeb kashmiriyon ko rs 500 me kharid kar unse forces ko patha t co thlrwxiog1,Neutral,Negative
pandajay congrachulation i am with you i am from jajpur odisha dharmasala constitutiona jenapur mandala good ble t co 82ccblop1l,Neutral,Positive
bol duk n d r ki ky ch hiye tumhe jo bh kahoge mer duk par vo p oge mai ne kah ki kutte ke kh ne k cak t co ffaww09qgx,Neutral,Negative
varshu offical iam prash04 deep deepika006 dazzling snehal prakashachary1 bhau60625419 akashofficiall t co t3uegomsgl,Neutral,Positive
din iftaar k intezaar may guzar jata hay or raat unky intezaar may my life in a nutshell,Negative,Neutral
vrbonam megha94507473 angadi ashok zaidzamanhamid bheek maangne ka naya tareeka ghar me nahi daanee amm t co 49fqrxqbzw,Neutral,Negative
aamirliaquat imrankhanpti assalamualikum sir is eid ko ak family apne abbu ke sath t co pq6qf5jl2r,Negative,Neutral
kardia i get you it s all so cute,Neutral,Positive
sambitswaraj sorry to hear this but koi baat nahi sir desh mai modi sarkar agaya,Positive,Neutral
rangoli a watt lg gyi fake victim card khelne ki metoo exposed t co j9m7suujch,Neutral,Negative
kapilmishra ind kapil ji namaskar a good suggestion let's tweet all to didi in her twitter act jai shree ram,Positive,Neutral
arunkumar783 khulkar bolo kamleshrti rfpgrp ke officer se le kr constable tk ki ye paisa jata hain railway ka b t co ggp7utxrny,Positive,Neutral
hate this kutta khansi coughing my lungs out and getting embarrassed,Neutral,Negative
bainjal pmoindia pragya thakur ke bhopal mein jeet se ye sabit ho gaya hai hament karker ji desh dhrohi the tatha t co iphtjajppc,Positive,Neutral
msisodia itni imandar ki congress ke pairo me gir gai ls election me sir kam kr lo ap log twitter twitter mat khelo,Negative,Neutral
rt razzzzzzza okay momwe friends are planning a trip mom nahi betaajkl k dost bht kharab haikhud parhai kr lety pr dosrun ko kharab,Negative,Neutral
dgsab babapakistan1 serif aik teekay ke zaroorat hay baqi sub set ho jay ga,Positive,Neutral
pmoindia pm modi g please sabse pehle aap india mein awara gomata ka kuch kijiye bahut bad condition in cows hungr t co 39056ycipo,Neutral,Negative
not sekcy mis bayy noorulaintariq1 aintyou3 notyourbishh la ya li yes i'm witch,Positive,Neutral
me nahi manti is election me bjp ki jeet ko me nahi manti modi ko desh ka pm evm me hera feri kar k jeet hasil t co nwcl080kkg,Negative,Positive
agar congress party hinduo ke liye apni vichar dhara nahi badal sakti to hindu congress party ke liye apni vichar d t co nbpaxq1egs,Positive,Neutral
bunnyyggukk lalalaseokjin leiaxoh omgggg legit we areeeee the same ilysmmmmmm thank you for coming into my t co 5yn0mnxrrh,Negative,Positive
nupursharmabjp nsitharaman absolutely as we are looking for a naya bharat and all religions need to support it t co 1r3m6qwhxo,Neutral,Positive
affects haha you cant even speel goad write dumy,Negative,Neutral
srinivasiyc rahulrpyc iyc delhipyc keshavyadaviyc priyankagandhi chotiwala amityadaviyc great keep it up bhyya,Neutral,Positive
krkboxoffice anything u r against becomes hit u no more relevant kamaalrkhan,Neutral,Negative
modi ji ye sab to hota rahega lekin pehle ram mandir banawao dhara 370 hatao hindurastra ghosit karwao logo t co 6graqxh2hz,Positive,Negative
natz slays tu to rcb ke grp se he ab purani ho chuki sone de ab,Neutral,Negative
me dong waka tutor close ang school ako pag umangkon nga 5yrs old really this is the best day ever nisayaw me t co gtqszmndeo,Positive,Neutral
talathussain12 meri herani khatam ho gae hai kyu ke i finally understood ke tumhe geo se kyu nikala khabar confirm to kr lya kr loro,Negative,Neutral
klrahul11 imkuldeep18 hardikpandya7 yuzi chahal kya woh karke aae h kya achi batting,Negative,Neutral
evm ke khilaaf ab shashtra andolan ke siwai aur koi chara nahi 85 moolwasiyon ambedkar tumhare kisi kam nahi aaya t co a7bmdlmnb0,Negative,Neutral
ye meri copy lekar kyu gya hai usse hw copy krega kya innocent naina yehundinonkibaathai t co tdpmqwlfa6,Positive,Neutral
sarahthyre this is nothing my sister once used fevistick as lip balm,Positive,Neutral
suryavanshi8888 narendramodi manojsinhabjp sabke dil me raj karane vale karmathi neta manoj sinha ji zindabad zi t co cqrlymrfni,Neutral,Positive
drsmfanclub doc thats why pak army make it public that no one will be free anjam yai hona hey en sab ka badm t co 6hgxnd0pww,Positive,Neutral
diljitdosanjh diljit paji i saw the shaada trailer maza ah gya paji bhut vadiya lagya nd happy too nd i knw my d t co oof7aduc4q,Positive,Neutral
my advice to the pakistan team today is what o ye ki paain yakee lagai hai ja kr pakory bechh cricketworldcup2019 pakvwi wc19,Positive,Neutral
rt jcoupon3 vj mk52 fair enough but you understand that 80 india understands hindi ab isko aap 1000 baar read karen and take shower,Positive,Neutral
owaistohid ki munafiqat dekhein iramizraja ne jab mulk lootne waloon ke khalaf tweet ki to bhi ne itna ghussa ki t co 0skkxxy6xb,Neutral,Negative
pk11984161 jai shri ganesha good morning t co kdvaoymsxn,Neutral,Positive
sushmaswaraj respected susmaji mam appki iss desh ko abhi bhi bohot zarurat hai mam pls return to ur ministry p t co kvgd85fpra,Neutral,Positive
newrikarashi you can imagine how i sing this song with kiay hahahahaha,Positive,Neutral
i always say this hume logic predisposes it offensively you re lack of relevant information renders you exposed t co zkw4yo2rn5,Neutral,Negative
dil jigra ek he hi lekin ispe har bar kurban kar du bharat ki shan salman khan t co dhheyz38o8,Positive,Neutral
baati chokha restaurants kholne ka mtlb koi sense of responsibility ni haikharab khana dete hai customers ko,Negative,Neutral
maryamnsharif fikkar naa karo ye jo ab chand patwari rah gai hai in ki nasal tumhari agly nasal ki ghulami kare gi t co vpxfvnw1om,Neutral,Negative
awgoraya afwahain tere baap kuttey ke marne ki thin lekin bhonk kar tu bata raha he tera baap kutta nhi khinzeer t co cicqf4pysc,Positive,Negative
anupmajaisbjp madam app sabse hm sbko bahut ummeed thi kids app log ek sagi faisla karege but also awgat kara du 6 t co uyzqgq6nr1,Positive,Neutral
vdhillaa boleeh syaratnya rt dan like good luck yaa,Neutral,Positive
thesortedchaos laga hai apke kisi ne wheelchair hi daal di hai tabhi itna dard hai burnol lagao nahi to khooni b t co 4mh7dpbdsb,Negative,Neutral
khanmubeenahmad mmohsinshahzad zaidzamanhamid sekh mujeeb nayla kadri jindawad indian army jindawad jay hind,Positive,Neutral
sadhavi amitshah hathi ke daant hindi proverb you knows very well mam,Negative,Neutral
dramebaaz and the best thing is i don't care,Positive,Neutral
cpm jiska khudka astitwa duniya se uth gaya wah kisiko vishesh position de sakti ha joke of century isn't it t co hkgfwmhyur,Negative,Neutral
kumarabhinay001 shoaib100mph officialslc india ki likhi hui book paru tmra pilot na pakrty tm nay ye b nahi mann t co prhevcqjrk,Positive,Neutral
see the new face of obsessive love the first poster of television actor karanvirbohra's debut film t co gffljgdy3g,Neutral,Positive
rt social ustaaz subh is far better than tahajjud subh is far better than tahajjud subh is far better than tahajjud subh is far better th,Neutral,Positive
engineer huma and u must have said k main patwaran houn aur wo sab samajh gai houngay,Positive,Neutral
rt nsitharaman thank you barkha for your kind words t co enm6sauvm8,Neutral,Positive
rt stupidlarka420 as salam o ali'kum gud morning,Positive,Neutral
shalinispv imac too are ye shekhargupta pagal ho gaya hai ab amitshah se itna bhi darne ki zaroorat nahin hai t co dekhvfzsbt,Neutral,Negative
sajidkhan 16 rssurjewala muslim khud modi virodhi hai modi ne 5sal mai muslim virodhi kuch kiya hi nahi,Positive,Negative
jalebified thank you so much bigade hue dada ji apake muh main laddoo,Neutral,Positive
rt gsxzgxe8mzknuke alwaysstaywithlalisa h y lu n lu n m m c i nh lalisa manoban we love,Neutral,Positive
rt kapil mishra indians liked this prediction and made it come true amitshahhomeministry t co e09atavian,Positive,Neutral
what can you teach us for our path we are who we are because of the opportunities we have had in life we have to t co arowc5whxm,Positive,Neutral
therealpcb sab ko bating dena koi pak se sikho world cup jita k dekhao phir j k k bare mai sochna icc cricketworldcup,Negative,Neutral
madhumishra narendramodi rajnathsingh nitin gadkari nstomar pmoindia amitshah bjp4india great sabka sath t co kqahylsbeu,Positive,Neutral
ye na smajhe nayi sarkar ki janta ne unhe bahut adhik seats k sath jitaya hai unhe ye dhyan rakhna hoga ki unh t co qbdxcjtugb,Positive,Neutral
janm divas ki subhkamnayejinhone desh k liye kalapani jaisi saja ko bhi haste haste saha aur aj hum jaise yuvao k t co 3eczgbtzp5,Neutral,Positive
upcopsachin upcopvishwendra mathurapolice mathuratraffic uppolice wrong side waalon ke tyre puncture karne ka t co tr6dsbcfwo,Positive,Neutral
rt pendushehari confluence of indus and zanskar at nimu is a fav spot in this route fascinated by the spectacular change of colour of bo,Positive,Neutral
gostudyabdullah pakistan may dosra system hota phir bhi overseas pakistanio ka to pocho mat,Neutral,Negative
arunsfan reallyswara yeah itne saal choro ko vote diya aab modiji ko try kar rahe hai we lots for many years t co iwz28vdm9p,Negative,Neutral
gdbakshije ujalo mein main andhere ka kaam nahi hai acche kaam mein mamta ji ka bhi koi koi kaam nahin hai ja supn t co n2gcadtulj,Negative,Neutral
daanishbutt tarekfatah you haraami budday sarfaraz is in fact the only one that has represented his country by we t co xh3ogfsoxz,Negative,Neutral
arvindkejriwal sir enjoy school se 7440 rs return ka msg milta hai or delhi ke guest trs ko etni salary ka msg mil t co p9f10qbtic,Negative,Positive
yasminkidwai followaanchal ranaayyub narendramodi 2 kaudi ki film maker aukat se bahar nikalne k koahish me,Negative,Neutral
ruthe ko manane ki dua wazifa amal tarika aur taweez t co rlkaflrv71 via youtube,Neutral,Positive
prof hariom narendramodi swarajyamag ye log kabhi bhi kisi ke saagein nhi ho saktein kyon ki inki aasmaani kitaa t co 1ndms0fvfl,Neutral,Negative
noturtrash toobzza madam har admi ek jaisa nhn hota or pyar k badle hamesha pyar hi milta hai ye allah ka bn t co grmxm7xocs,Neutral,Positive
rt thedeci mal jab bhi papa dantate the maa ka pallu tyar tha chupane ko that damn mutual understanding,Positive,Neutral
yrdeshmukh ppbajpai kissi ko jaganey ki jaroorat nahi hai ye desh jagh chuka hai aur pakhandi journos ko jaan c t co p2sogaizmk,Neutral,Negative
avantika 23 porinju cutest nhi hai gharjake uss bille ka kya hoga you don't know khub pitega bichara,Negative,Neutral
pakistanimn farhankvirk iqrarulhassan fawadchaudhry logon ka masla b media ka hi banaya hoa ha media khud chand t co qv60ilyspt,Negative,Neutral
itx sanaaa umer19000 matlab tum merey nahi sari sana ke pechey pare ho umer,Positive,Neutral
well finally my pooch made it in a list my blue heeler loooves to hike and show off his backpack the 11 t co mamvcvur5k,Positive,Neutral
smnehad aik aur azeem rehnuma jo kehtey hain k mr jaunga mgr hyderabad main university nhi bnney dunga rehnuma ka ye level,Negative,Neutral
tarekfatah shut up u shit like daduu charger it is our national dress we are proud to wear that in every party t co qmntzcmwwx,Positive,Negative
gaurangbhardwa1 unhe kam samajhne ki bhool mat karna international community me koi dainik jagran nahi padta t co kxclifbafb,Positive,Negative
ye baji nh ye baja hy balky bech wala hy sala koi t co j6nqmxq3az,Negative,Neutral
unkhann fakeionist inko inki auqat dikhani chayea what they don t realise is that they have a following and they t co hv2tu0yiru,Negative,Neutral
romanovsrevenge that's one nice video you got there my ancestors roger and hans would have loved it had they not t co h0ulmtvjba,Positive,Neutral
tejasvi surya dear sir you are entered in cabinet modiji we wish best of luck,Neutral,Positive
narendramodi hearty congratulations prime minister of india sri narendra damodar das modi bhaye god bless you bhaye love you bhaya,Neutral,Positive
rt isabgah make peace with everyone people are dying wallahi this life is nothing you never know we can die at anytime death await,Neutral,Positive
drmdnr railwayseva drm apdj ye he india ka rail koi bhi javab nahi deta or paisa pura le lete he kya drm ya kisi t co 9i71uwhicc,Positive,Negative
jub tak burayi k khilaf ladoge nahi thab tak tum sahi ya haq wale sabit nahi hoge haq ushe nahi kahete jo batil ko t co fomcmc2i05,Neutral,Negative
anjanaomkashyap tumhari rozi roti ka sawal to ayega nahi wo to unofficial bite mil jata hai bjp spokesperson jo ho,Negative,Neutral
rt nowthisisliving happy pride month i hope you feel even the slightest bit of pride in yourself this month i know it can be hard b,Neutral,Positive
k d desai icc lol pyare you may be right our bowling isn t the strongest suit lekin aap to jaante howe pakist t co vv1ktxguu4,Positive,Neutral
maryamnsharif haram khila kar hamey khud jail chaley jatey ho kitney mahaan ho tum baba hamarey itna zaleel ho t co gsfn75wnq5,Negative,Positive
geonews urdu laga shart kch nh hoga bhai hare ho haro gai worldcup nh jeeto gai likh kr rkh lo t co ubepqinq6r,Negative,Neutral
shanaya raval tanusream22 aima dvn27 armaanmalik22 heaters ho to heaters ki awkat me raho jyada achha banne ki koshi mat karo,Negative,Neutral
green top at world cup an aayega mazaa,Positive,Neutral
pontifex kuttar bacca son of dog kutte ki billo waladul kalb,Neutral,Negative
arvindpachauri2 sir ji aapne hamare comment ko lik kiya dhanyawad sir ji aap apney sthar sey pharmacist key liy kuch karey,Positive,Neutral
rt pssaini1 sharadkhurana71 good morning sir my self p s saini from krishi jagran monthly in hindi punjabi gujarati marathi kanna,Positive,Neutral
i blv in karma kisi ke chehre ki muskn chinkr khud kbi khush ni rha ja jo dia h wps m bhi milega t co o8iuh1yxx2,Positive,Neutral
rt sallukhanbeing retweet for this king 5 din intizar k baad raaj ho ga bollywood py salman khan ka bharatin5days t co ntg8ojoa3g,Positive,Neutral
divyanshmohit gulbukhari tum apny indian ki fikkar karo pakistan ko hum khud dykh lyngy mukti bahini 2 nahi ban t co jz4xmvvwlu,Neutral,Negative
shahidmasooddr walikum assalam shahid bhai wish you to a great day happy week of ramadan ahead with lots of ha t co ob6q6hrohi,Neutral,Positive
kuch seekho ye attitude chaiyai agar world cup jeetna hay t co v2of5cs5xj,Positive,Neutral
desistupides kunalkamra88 ab rehene de thapar tera rahul khud ra fail ho gaya hai tu kya karne wala ja kahi t co wkdh6vxrqt,Neutral,Negative
bachpunn iffat s97 nishacharr brahmaandkimaa hot ' kameeney she replied me,Positive,Neutral
drkumarvishwas sardesairajdeep how can a person be that much infected of madhar chodi,Negative,Neutral
nitishkumar mananiya cm sahab ab to apki sarker hai modi ji bhi saath hai to mera app se binarm niwedan hai ki kri t co vswknnxeh3,Positive,Neutral
incmp ye galti ke frame se koe gaya nahi hoga cm sir phir se niskasit samvida karmachariyo ko dhokha mat dijiye t co qyovqid27t,Neutral,Negative
dr panditji dominos you just lost a customer ab tumpe jabtak ispe fir nahi kroge main nahi khane wala,Neutral,Negative
pakistan ke captain ki statement sach saabit ho rhi h pehla hi match buri tarah se haar gyi shi kha tha sarfaraj t co raborsveb0,Negative,Neutral
durfiteymun dhari nahi hoon sabse phar first ones are scary,Positive,Neutral
joydas na na allah ke kisi nek bande ki baddua bhe kaam kar sakte hai enemies pakistan ko destroy karne ke liye t co sifjvci6bz,Negative,Neutral
rt bollywood life kabirsingh new song tujhekitnachahnelage is the new age love ballad filled with melancholy and longing watch video,Neutral,Positive
shekhargupta thejaggi sirjee not taking advise from people who have consistently been wrong is a good start,Positive,Neutral
iamthedrifter change apne naam ki hi laaj rakh lo ye kuttey pakistan aur pak army k khilaaf hain inn ko tou sar t co qhirvbagn1,Neutral,Negative
narendramodi congratulations sir on behalf on india and jan samasya mela bharat on oath ceremony as pm india for t co 952ts5cirf,Neutral,Positive
agar koi bole desh me vikas nahi huva tu hum nahi manege kyunke desh me jana maana gunda bhi desh ka t co 4o9o83extv,Neutral,Negative
congress cwc ne aaj kaha ki cong sanvidhan ki raksha ke liye ladti rahegi kya unka aarth he ki modi sarkar sanvidh t co jgoftubji1,Positive,Neutral
ek bjp hai log sweksha se mantri pad ke liye mana kar de rahe hain aur ek congressi hain ashokgehlot51 t co nraems0qan,Negative,Neutral
chah jau all world ke kisi bhi desh ko bana du ya delete kr du meri marji kyu main kisi bad nhi sirf achha kr na st t co nhl5ole6xa,Negative,Neutral
varshasinghmcx muslim tustikarad hindu virodbhrashtachar public ko bevkuf samajhkar safed jhuthbharat ki sbhya t co jgasypmw2d,Neutral,Negative
muhamma37196903 youtube tseries pakistani nalle itna darte hai humse ki apna chehra bhi nahi lagate profile pic t co qglkj5um6p,Negative,Neutral
if you love them buy them a bhau vadapaav t co sfesn5pxkk,Positive,Neutral
dbinea m asingwire haha era gwe kale no one can decive you about the future you already see the future,Positive,Neutral
rt kumarnigam18 jo log tamilnadu me rehte hai unhey koi problem nahin fir tum logo ko kyun mirchi lagi padi hai wahan v violence crea,Neutral,Negative
felicitous hawk jyada hoshiyar hote hai yeh log number lene ki ninja technique thi voh,Neutral,Negative
cmojharkhand sir aap apne wade ko pura nahi kar paye subcapital mein light ki aise problem pehle kavi nahi hui th t co v8ynkkktqu,Negative,Neutral
rahulgandhi vipaksh mein bhi rahne layak nahi 21 dalon ka vipaksh bhi evm hatao yaa ban evm ke liye andolan nahi t co b6sdmru8ld,Negative,Neutral
sakshijoshii news24tvchannel syedzafarbjp 5 saal sarkar nam ki kendre mein fir bangai ab tumhein bhi sangath ka t co jvsh0ayzki,Positive,Negative
rt chandeluday aaj koi bhi government holiday nahi hai but aaj bhi dumri kalan post office band tha only attendance lagate hai please ta,Negative,Neutral
chhavi i think we need a statute which acts as a strong deterrent for such savage people as rapists and a very q t co jfgbeejyoa,Positive,Neutral
piersmorgan guy like u u can't even run 100 metre even a 15 year old guy can beat u in anything,Negative,Neutral
avnijesh mamataofficial pareshan karke rakh diya hai ye 3 shabd ne mamta ko pehli baar hi ignore maar deti ya s t co wuzn0wnelh,Neutral,Negative
narendramodi respected modi ji sir app india k chor logo k liye kari se kari saza nikaliye chalte firte bag t co bc6ljz3tp2,Positive,Neutral
ashutosh83b apki midea ne pulwama me 300kg rdx kha se aya uski khozbeen nhi ki bas bjp ka parchaar kiya,Negative,Neutral
beingsalmankhan salman sir ji m deepak kapoor rohtak sir ji maine ek film ki kahani likhi hai jo aapko bhot pasand t co stajs2kpqo,Neutral,Positive
sherryontopp dp dekhke to nahi lagta bjp then congress next election bsp aajma lo milna baba ji ka thullu he hai thoko taali,Neutral,Negative
ungraduateg ytcreatorsindia i am big fan of you o will retweet aapka channel jaldi vapas lane ki kushish karuga m t co wtunqjxxpc,Neutral,Positive
dragonhindix bhai me appka bada fan hu amd mujhe anime bohat acha lagta he so please app weathering with you bala t co ncl0tzoldq,Positive,Neutral
xeiauddin elate0309 ibne sena jmukmrpolice crpf srinagar muslims in india are in much better condition than is t co wnkwfodol9,Positive,Neutral
rt maleehahashmey well done army chief two army officers to be punished over leaking sensitive information to state enemies brig,Neutral,Negative
imrankhanpti sir samjh ni ati ap q khamoah hain itne toofan itni afaat allah pak maf kre sirf itne zulm baxheo k s t co 3frzxv9dqt,Neutral,Negative
expressnewspk shamidrees or iski wife ko choor k ye duckybhai or doosra kaun hai pata nhi ye ducky or ye khujli t co aj2gemkjcf,Neutral,Negative
imrankhanpti is happy god has answered his prayers aaj pak mein phatake futenge,Negative,Positive
imrankhanpti pakistan me hindu ladkiyo ki kidnapping aur jabran nikah pe koi kuch nahi kar sakta lekin pakisan ke t co kidnh94k4h,Negative,Neutral
jawadahmadone aik singer r dancer ko kia pta k muslim umma ka dard kia hta h tm stage performer ho whi rho apni t co 31cny23ygw,Negative,Neutral
rt thej p s opinionsrp now that you are no longer his fan please join some other fan club like pulkit samrat or suraj pancholi good r,Negative,Neutral
rubikaliyaquat atleast tv ki pe oath to family dekhti kya dushmani hai puri modi family ko modi se,Neutral,Negative
